                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76466,                0.40783,                0.88524,                0.99874,                0.99573,                0.99499,                 0.8384,                0.74292,                0.38103,                0.85236,              0.0005903,              0.0005903,              0.0005903
                     37,                0.76531,                0.40933,                0.87995,                0.99738,                0.99488,                  0.995,                0.84026,                0.73812,                0.36992,                0.85189,             0.00058677,             0.00058677,             0.00058677
                     38,                 0.7589,                0.40984,                0.87693,                0.99384,                0.99744,                0.99453,                0.84445,                0.71687,                0.36279,                0.84534,             0.00058323,             0.00058323,             0.00058323
                     39,                0.75799,                0.40609,                0.88338,                0.99901,                0.99573,                  0.995,                0.83906,                0.74868,                0.35417,                0.85121,              0.0005797,              0.0005797,              0.0005797
                     40,                0.77096,                0.40365,                 0.8852,                0.99646,                0.99488,                 0.9944,                0.84354,                 0.7302,                0.35266,                0.84709,             0.00057616,             0.00057616,             0.00057616
                     41,                0.75192,                0.39236,                0.88144,                0.99351,                0.99146,                0.99487,                0.81943,                0.75828,                0.38246,                0.85444,             0.00057263,             0.00057263,             0.00057263
                     42,                0.76812,                0.40276,                0.88509,                0.99733,                0.99744,                0.99498,                0.84119,                0.72705,                0.35639,                0.85004,             0.00056909,             0.00056909,             0.00056909
                     43,                0.76304,                0.39625,                0.88435,                0.99573,                0.99478,                0.99478,                0.82478,                0.73712,                0.36048,                0.85683,             0.00056556,             0.00056556,             0.00056556
                     44,                0.76091,                 0.3987,                0.88024,                 0.9983,                0.99573,                  0.995,                0.84704,                0.70763,                 0.3388,                0.84705,             0.00056203,             0.00056203,             0.00056203
                     45,                0.75246,                0.39294,                0.88239,                 0.9966,                0.99573,                0.99469,                0.84619,                0.72401,                0.34431,                0.84886,             0.00055849,             0.00055849,             0.00055849
                     46,                0.74285,                0.39406,                 0.8811,                0.99743,                0.99401,                0.99492,                0.83749,                0.73225,                0.35252,                0.85269,             0.00055496,             0.00055496,             0.00055496
                     47,                0.75626,                0.39546,                 0.8829,                0.99859,                0.99317,                  0.995,                0.84382,                0.72464,                0.35283,                0.84681,             0.00055142,             0.00055142,             0.00055142
                     48,                0.75136,                0.39457,                0.87965,                0.99863,                0.99658,                0.99472,                0.83171,                0.71286,                 0.3584,                0.84947,             0.00054789,             0.00054789,             0.00054789
