                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77115,                0.41035,                0.88663,                0.99869,                0.99658,                  0.995,                0.83566,                0.74248,                0.37388,                 0.8615,              0.0005903,              0.0005903,              0.0005903
                     37,                0.76441,                0.40109,                 0.8829,                0.99829,                0.99725,                0.99499,                 0.8398,                0.73906,                0.36441,                 0.8528,             0.00058677,             0.00058677,             0.00058677
                     38,                0.75666,                0.39822,                0.87776,                0.99762,                0.99658,                  0.995,                0.84328,                0.72523,                0.35785,                0.84812,             0.00058323,             0.00058323,             0.00058323
                     39,                0.75559,                0.39977,                0.88468,                0.99658,                 0.9948,                0.99491,                0.83927,                0.73562,                0.36443,                0.85714,              0.0005797,              0.0005797,              0.0005797
                     40,                0.78074,                0.40248,                0.88664,                0.99628,                0.99658,                0.99479,                0.84072,                0.72987,                0.35129,                0.85888,             0.00057616,             0.00057616,             0.00057616
                     41,                0.75729,                0.39406,                0.88348,                0.99574,                0.99722,                0.99475,                0.83099,                0.73175,                0.36402,                0.85673,             0.00057263,             0.00057263,             0.00057263
                     42,                0.76925,                0.39832,                0.88614,                0.99816,                0.99658,                  0.995,                0.83964,                0.73713,                0.35119,                0.85541,             0.00056909,             0.00056909,             0.00056909
                     43,                0.75961,                0.39515,                0.88506,                0.99829,                0.99651,                0.99475,                0.83565,                0.72551,                  0.343,                0.85189,             0.00056556,             0.00056556,             0.00056556
                     44,                0.75863,                0.39978,                0.88196,                0.99981,                0.99744,                  0.995,                0.85236,                0.71212,                0.34254,                0.85213,             0.00056203,             0.00056203,             0.00056203
                     45,                0.75357,                0.39319,                0.88379,                0.99898,                0.99744,                  0.995,                0.85352,                0.72923,                0.34618,                0.85283,             0.00055849,             0.00055849,             0.00055849
                     46,                0.74549,                0.38801,                0.88025,                0.99742,                0.99188,                0.99482,                 0.8414,                0.74487,                0.35603,                0.85664,             0.00055496,             0.00055496,             0.00055496
                     47,                0.75688,                0.39349,                 0.8797,                 0.9953,                0.99488,                0.99457,                0.84883,                0.72837,                0.35068,                0.85003,             0.00055142,             0.00055142,             0.00055142
                     48,                0.75172,                0.39027,                 0.8806,                0.99914,                0.99558,                  0.995,                0.84312,                0.72055,                0.34142,                0.85176,             0.00054789,             0.00054789,             0.00054789
                     49,                 0.7416,                 0.3845,                0.88052,                  0.996,                0.99744,                0.99461,                0.84615,                0.72869,                0.34402,                0.85119,             0.00054435,             0.00054435,             0.00054435
                     50,                0.73302,                0.37496,                0.87551,                0.99897,                0.99744,                  0.995,                0.84991,                0.72397,                0.33777,                0.84906,             0.00054082,             0.00054082,             0.00054082
                     51,                0.73595,                0.37983,                 0.8777,                0.99488,                0.99607,                0.99478,                0.85045,                 0.7179,                0.33422,                0.84701,             0.00053728,             0.00053728,             0.00053728
                     52,                0.72987,                0.37745,                0.88149,                0.99758,                0.99744,                  0.995,                0.84595,                0.72104,                0.34609,                0.85273,             0.00053375,             0.00053375,             0.00053375
                     53,                0.74119,                0.38181,                0.87618,                0.99736,                0.99573,                0.99498,                0.84984,                0.71099,                0.34769,                0.84384,             0.00053022,             0.00053022,             0.00053022
                     54,                0.73163,                0.37644,                0.87542,                0.99743,                0.99618,                0.99499,                0.85079,                0.71909,                0.33502,                0.84826,             0.00052668,             0.00052668,             0.00052668
                     55,                0.73467,                0.37898,                0.87906,                0.99371,                0.99744,                0.99497,                0.84507,                0.72272,                0.34671,                0.85113,             0.00052315,             0.00052315,             0.00052315
                     56,                0.73653,                0.38063,                0.87865,                0.99914,                 0.9964,                0.99487,                0.84819,                0.72563,                0.33343,                0.85067,             0.00051961,             0.00051961,             0.00051961
                     57,                0.74286,                0.38087,                0.87901,                0.99802,                0.99744,                  0.995,                0.84441,                0.72516,                0.34944,                0.85492,             0.00051608,             0.00051608,             0.00051608
                     58,                0.73664,                0.37463,                0.87698,                      1,                0.99721,                  0.995,                0.81852,                0.74995,                0.35168,                0.85441,             0.00051254,             0.00051254,             0.00051254
                     59,                0.73524,                0.37679,                0.87674,                0.99491,                0.99488,                0.99462,                0.84752,                0.71424,                0.33976,                0.84755,             0.00050901,             0.00050901,             0.00050901
                     60,                0.72941,                0.37462,                 0.8742,                0.99938,                0.99573,                  0.995,                0.85643,                0.71587,                 0.3427,                 0.8504,             0.00050548,             0.00050548,             0.00050548
